clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,periodo_act,anio_ingreso_periodo,promedio,promedioxperiodo,promedio_pred,alumnoEnRiesgoBajoRendimiento
3946,0,2,107,LOS ANGELES,25006.0,Culiacan,1,ago-dic,2005,88.42857142857143,69.64963492063492,69.16993,En riesgo
3946,0,2,107,LOS ANGELES,25006.0,Culiacan,1,ene-jun,2006,75.0,63.61922789115648,65.4569,En riesgo
3946,0,2,107,LOS ANGELES,25006.0,Culiacan,1,verano,2006,70.0,68.80368253968254,71.613884,En riesgo
3978,0,1,127,COFRADIA,25018.0,Navolato,1,ago-dic,2005,70.85714285714286,72.50306530612247,70.931854,Sin riesgo
3978,0,1,127,COFRADIA,25018.0,Navolato,1,ene-jun,2006,91.16666666666667,75.13162976190478,67.78359,Sin riesgo
3988,0,1,78,GUADALUPE,25006.0,Culiacan,1,ago-dic,2005,59.57142857142857,74.82658639455784,69.7391,Sin riesgo
3988,0,1,78,GUADALUPE,25006.0,Culiacan,1,ene-jun,2006,33.0,72.06951908541197,65.84125,Sin riesgo
3988,0,1,78,GUADALUPE,25006.0,Culiacan,1,verano,2010,35.0,45.47143537414966,71.51918,En riesgo
4020,0,2,107,VILLA DEL REAL,25006.0,Culiacan,1,ago-dic,2005,87.42857142857143,71.65032653061225,70.24454,Sin riesgo
4020,0,2,107,VILLA DEL REAL,25006.0,Culiacan,1,ene-jun,2006,91.14285714285714,64.18448095238092,67.01268,En riesgo
4020,0,2,107,VILLA DEL REAL,25006.0,Culiacan,1,verano,2006,100.0,73.59695238095237,78.23736,Sin riesgo
4031,0,1,107,EL WALAMO,25006.0,Culiacan,1,ago-dic,2005,70.42857142857143,84.15156190476193,74.77871,Sin riesgo
4031,0,1,107,EL WALAMO,25006.0,Culiacan,1,ene-jun,2006,57.285714285714285,83.28701582148013,70.67319,Sin riesgo
4031,0,1,107,EL WALAMO,25006.0,Culiacan,1,verano,2006,81.0,85.82013095238094,80.009735,Sin riesgo
4116,0,1,32,VILLA DE GUADALUPE,25006.0,Culiacan,1,ago-dic,2005,73.28571428571429,85.52321598639455,80.66388,Sin riesgo
4116,0,1,32,VILLA DE GUADALUPE,25006.0,Culiacan,1,ene-jun,2006,69.6,64.03176666666667,64.93446,En riesgo
4116,0,1,32,VILLA DE GUADALUPE,25006.0,Culiacan,1,verano,2007,100.0,91.65181746031747,83.80257,Sin riesgo
4192,0,1,26,MAZATLAN III,25006.0,Culiacan,1,ago-dic,2005,58.142857142857146,69.7479922175708,69.1714,En riesgo
4192,0,1,26,MAZATLAN III,25006.0,Culiacan,1,ene-jun,2006,66.6,65.24213344671202,65.73994,En riesgo
4192,0,1,26,MAZATLAN III,25006.0,Culiacan,1,verano,2007,74.0,71.56325024420025,72.533455,Sin riesgo
4244,1,2,118,BACHIGUALATO,25006.0,Culiacan,1,ago-dic,2005,59.666666666666664,52.88380212842712,63.283516,En riesgo
4244,1,2,118,BACHIGUALATO,25006.0,Culiacan,1,ene-jun,2006,87.6,62.95233809523808,60.424095,En riesgo
4244,1,2,118,BACHIGUALATO,25006.0,Culiacan,1,verano,2008,80.0,65.90449682539683,76.76244,En riesgo
4245,0,1,107,GUADALUPE,25006.0,Culiacan,1,ago-dic,2005,73.0,62.93975929229502,69.3534,En riesgo
4245,0,1,107,GUADALUPE,25006.0,Culiacan,1,ene-jun,2006,60.5,70.49192645502644,66.0787,Sin riesgo
4245,0,1,107,GUADALUPE,25006.0,Culiacan,1,verano,2007,80.0,88.25015873015873,77.72533,Sin riesgo
4260,2,1,72,HUMAYA,25003.0,Badiraguato,1,ago-dic,2005,73.85714285714286,67.75425305177627,65.58283,En riesgo
4260,2,1,72,HUMAYA,25003.0,Badiraguato,1,ene-jun,2006,57.857142857142854,67.28329285714284,60.64625,En riesgo
4260,2,1,72,HUMAYA,25003.0,Badiraguato,1,verano,2008,70.0,73.648,73.14414,Sin riesgo
4261,2,1,70,CAMPESTRE,25006.0,Culiacan,1,ago-dic,2005,58.142857142857146,69.44932596371883,64.389626,En riesgo
4261,2,1,70,CAMPESTRE,25006.0,Culiacan,1,ene-jun,2006,38.0,56.25117037037037,58.555187,En riesgo
4261,2,1,70,CAMPESTRE,25006.0,Culiacan,1,verano,2007,70.0,75.32956349206349,72.2711,Sin riesgo
4264,2,1,112,AGUSTINA RAMIREZ,25015.0,Guamuchil,1,ago-dic,2005,70.28571428571429,62.778638173995326,62.913383,En riesgo
4264,2,1,112,AGUSTINA RAMIREZ,25015.0,Guamuchil,1,ene-jun,2006,88.0,45.01979682539683,51.60651,En riesgo
4264,2,1,112,AGUSTINA RAMIREZ,25015.0,Guamuchil,1,verano,2007,75.0,75.55311111111111,75.59442,Sin riesgo
4276,2,1,121,INDEPENDENCIA,25006.0,Culiacan,1,ago-dic,2005,92.5,83.37473571428569,72.7341,Sin riesgo
4276,2,1,121,INDEPENDENCIA,25006.0,Culiacan,1,ene-jun,2006,79.375,67.28524226190477,63.769493,En riesgo
4276,2,1,121,INDEPENDENCIA,25006.0,Culiacan,1,verano,2007,80.0,79.26,79.789505,Sin riesgo
4290,2,1,150,CENTRO,25006.0,Culiacan,1,ago-dic,2005,71.57142857142857,67.57944231429946,66.10598,En riesgo
4290,2,1,150,CENTRO,25006.0,Culiacan,1,ene-jun,2006,85.5,69.29571964543393,63.437572,En riesgo
4290,2,1,150,CENTRO,25006.0,Culiacan,1,verano,2007,75.0,72.95,75.505135,Sin riesgo
4298,2,1,32,EL WALAMO,25005.0,Cosala,1,ago-dic,2005,66.42857142857143,58.345554881626306,61.402935,En riesgo
4298,2,1,32,EL WALAMO,25005.0,Cosala,1,ene-jun,2006,69.83333333333333,44.005266402116405,55.108868,En riesgo
4298,2,1,32,EL WALAMO,25005.0,Cosala,1,verano,2007,0.0,47.419761904761906,64.00737,En riesgo
4304,2,1,26,HUMAYA,25006.0,Culiacan,1,ago-dic,2005,70.85714285714286,59.35942229093658,63.164356,En riesgo
4304,2,1,26,HUMAYA,25006.0,Culiacan,1,ene-jun,2006,54.0,58.608648148148134,57.92044,En riesgo
4304,2,1,26,HUMAYA,25006.0,Culiacan,1,verano,2006,75.0,75.3535,71.39459,Sin riesgo
4309,2,1,27,MONTSERRAT,25006.0,Culiacan,1,ago-dic,2005,84.71428571428571,68.19796870748301,61.15887,En riesgo
4309,2,1,27,MONTSERRAT,25006.0,Culiacan,1,ene-jun,2006,58.57142857142857,56.46535655706726,58.089188,En riesgo
4309,2,1,27,MONTSERRAT,25006.0,Culiacan,1,verano,2007,0.0,51.908428571428566,65.779305,En riesgo
4327,2,1,112,INSURGENTES,25015.0,Guamuchil,1,ago-dic,2005,46.42857142857143,47.90984731670446,63.902424,En riesgo
4327,2,1,112,INSURGENTES,25015.0,Guamuchil,1,ene-jun,2006,80.33333333333333,72.24134523809526,59.758717,Sin riesgo
4327,2,1,112,INSURGENTES,25015.0,Guamuchil,1,verano,2006,100.0,87.40931746031745,76.59902,Sin riesgo
4333,2,1,169,EJIDAL,25011.0,Guasave,1,ago-dic,2005,80.28571428571429,70.99381746031747,66.304665,Sin riesgo
4333,2,1,169,EJIDAL,25011.0,Guasave,1,ene-jun,2006,63.166666666666664,42.3982523809524,51.487614,En riesgo
4333,2,1,169,EJIDAL,25011.0,Guasave,1,verano,2008,72.5,80.072,77.98216,Sin riesgo
4334,2,1,128,,25006.0,Culiacan,1,ago-dic,2005,60.857142857142854,71.02657777777775,65.546814,Sin riesgo
4334,2,1,128,,25006.0,Culiacan,1,ene-jun,2006,61.285714285714285,71.92259523809524,62.380047,Sin riesgo
4334,2,1,128,,25006.0,Culiacan,1,verano,2007,70.0,81.44666666666666,78.243355,Sin riesgo
4345,2,1,42,CENTRO,25009.0,Escuinapa,1,ago-dic,2005,83.71428571428571,77.33435646258503,63.995308,Sin riesgo
4345,2,1,42,CENTRO,25009.0,Escuinapa,1,ene-jun,2006,61.714285714285715,58.76525505050505,58.160923,En riesgo
4345,2,1,42,CENTRO,25009.0,Escuinapa,1,verano,2010,75.0,74.94,71.87685,Sin riesgo
4357,2,1,32,LUIS DONALDO COLOSIO,25005.0,Cosala,1,ago-dic,2005,77.42857142857143,79.94575259396687,77.39355,Sin riesgo
4357,2,1,32,LUIS DONALDO COLOSIO,25005.0,Cosala,1,ene-jun,2006,90.16666666666667,85.74001417233559,81.44791,Sin riesgo
4364,2,1,31,LA HIGUERAS,25006.0,Culiacan,1,ago-dic,2005,69.71428571428571,57.81658811928812,62.76944,En riesgo
4364,2,1,31,LA HIGUERAS,25006.0,Culiacan,1,ene-jun,2006,65.33333333333333,42.960353741496604,56.93503,En riesgo
4364,2,1,31,LA HIGUERAS,25006.0,Culiacan,1,verano,2007,70.0,77.23288888888888,66.05944,Sin riesgo
4367,3,1,166,CULIACANCITO,25006.0,Culiacan,1,ago-dic,2005,72.16666666666667,71.32319365079366,63.88866,Sin riesgo
4367,3,1,166,CULIACANCITO,25006.0,Culiacan,1,ene-jun,2006,76.16666666666667,62.4553911564626,59.590893,En riesgo
4374,3,1,66,SANTA NATALIA,25013.0,Mocorito,1,ago-dic,2005,85.0,69.97309353054352,63.918644,En riesgo
4374,3,1,66,SANTA NATALIA,25013.0,Mocorito,1,ene-jun,2006,50.0,58.15356984126986,58.34825,En riesgo
4412,3,1,29,ISSSTESIN,25018.0,Navolato,1,ago-dic,2005,63.0,51.48030132275132,58.30603,En riesgo
4412,3,1,29,ISSSTESIN,25018.0,Navolato,1,ene-jun,2006,42.0,50.88409523809525,55.652668,En riesgo
4412,3,1,29,ISSSTESIN,25018.0,Navolato,1,verano,2008,0.0,35.18666666666667,46.86708,En riesgo
4413,3,1,127,CENTRO,25018.0,Navolato,1,ago-dic,2005,61.166666666666664,52.00622199546483,59.605785,En riesgo
4413,3,1,127,CENTRO,25018.0,Navolato,1,ene-jun,2006,72.8,44.702874603174614,54.995567,En riesgo
4413,3,1,127,CENTRO,25018.0,Navolato,1,verano,2007,0.0,50.35333333333333,62.87226,En riesgo
4417,3,1,119,FRACC.,25006.0,Culiacan,1,ago-dic,2005,78.16666666666667,50.564786848072565,57.68368,En riesgo
4417,3,1,119,FRACC.,25006.0,Culiacan,1,ene-jun,2006,78.33333333333333,56.36532698412698,55.47717,En riesgo
4420,4,1,154,EL WALAMO,25011.0,Guasave,1,ago-dic,2005,71.66666666666667,74.6891777777778,62.49286,Sin riesgo
4420,4,1,154,EL WALAMO,25011.0,Guasave,1,ene-jun,2006,74.8,53.78342380952381,57.04475,En riesgo
4434,4,1,127,ALCANFORES,25018.0,Navolato,1,ago-dic,2005,72.5,53.77419393939394,61.012894,En riesgo
4434,4,1,127,ALCANFORES,25018.0,Navolato,1,ene-jun,2006,62.2,51.80654421768707,56.16423,En riesgo
4434,4,1,127,ALCANFORES,25018.0,Navolato,1,verano,2010,88.5,84.80866666666667,69.492744,Sin riesgo
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,ago-dic,2005,65.16666666666667,69.6257,59.546833,En riesgo
