clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,nombre,corto,periodo_act,anio_ingreso_periodo,promedio,escuela,promedioxperiodo,promedio_pred
4434,4,1,127,ALCANFORES,25018.0,Navolato,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2010,75.4,UAS (NAVOLATO),47.25194401154401,57.361977
4434,4,1,127,ALCANFORES,25018.0,Navolato,1,INGENIERIA ELECTRONICA,Electronica,verano,2010,88.5,UAS (NAVOLATO),84.90841666666667,72.35339
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2005,65.16666666666667,UAS (DR. SALVADOR ALLENDE),66.39870476190477,58.22992
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,62.0,UAS (DR. SALVADOR ALLENDE),66.39870476190477,58.22992
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2008,58.0,UAS (DR. SALVADOR ALLENDE),66.39870476190477,58.22992
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,85.6,UAS (DR. SALVADOR ALLENDE),66.39870476190477,58.22992
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2010,80.4,UAS (DR. SALVADOR ALLENDE),66.39870476190477,58.22992
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,46.8,UAS (DR. SALVADOR ALLENDE),61.65843015873016,54.666565
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,45.6,UAS (DR. SALVADOR ALLENDE),61.65843015873016,54.666565
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2009,68.83333333333333,UAS (DR. SALVADOR ALLENDE),61.65843015873016,54.666565
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2010,58.57142857142857,UAS (DR. SALVADOR ALLENDE),61.65843015873016,54.666565
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2007,0.0,UAS (DR. SALVADOR ALLENDE),25.38,57.126747
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2009,77.0,UAS (DR. SALVADOR ALLENDE),25.38,57.126747
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2010,77.5,UAS (DR. SALVADOR ALLENDE),25.38,57.126747
4443,4,1,142,,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2005,71.66666666666667,UAS (LA REFORMA),49.95867301587302,59.680668
4443,4,1,142,,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,47.8,UAS (LA REFORMA),49.95867301587302,59.680668
4443,4,1,142,,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2007,51.166666666666664,UAS (LA REFORMA),49.95867301587302,59.680668
4443,4,1,142,,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2008,44.0,UAS (LA REFORMA),49.95867301587302,59.680668
4443,4,1,142,,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,63.0,UAS (LA REFORMA),47.08418293650794,54.47636
4443,4,1,142,,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,63.8,UAS (LA REFORMA),47.08418293650794,54.47636
4443,4,1,142,,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2008,74.25,UAS (LA REFORMA),47.08418293650794,54.47636
4443,4,1,142,,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2009,14.166666666666666,UAS (LA REFORMA),47.08418293650794,54.47636
4443,4,1,142,,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2010,17.5,UAS (LA REFORMA),47.08418293650794,54.47636
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2005,55.333333333333336,COLEGIO IMPERIO,61.07384788359787,64.52837
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,45.0,COLEGIO IMPERIO,61.07384788359787,64.52837
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,82.0,COLEGIO IMPERIO,61.07384788359787,64.52837
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2010,58.75,COLEGIO IMPERIO,61.07384788359787,64.52837
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,60.8,COLEGIO IMPERIO,67.70206137566139,60.727806
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,65.16666666666667,COLEGIO IMPERIO,67.70206137566139,60.727806
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2009,80.5,COLEGIO IMPERIO,67.70206137566139,60.727806
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2010,75.5,COLEGIO IMPERIO,67.70206137566139,60.727806
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2006,75.0,COLEGIO IMPERIO,78.86166666666666,75.758865
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2007,70.0,COLEGIO IMPERIO,78.86166666666666,75.758865
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2010,95.0,COLEGIO IMPERIO,78.86166666666666,75.758865
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2005,67.16666666666667,UAS (DR. SALVADOR ALLENDE),40.73930158730159,58.606106
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,58.0,UAS (DR. SALVADOR ALLENDE),40.73930158730159,58.606106
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2007,0.0,UAS (DR. SALVADOR ALLENDE),40.73930158730159,58.606106
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,74.5,UAS (DR. SALVADOR ALLENDE),40.73930158730159,58.606106
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2010,40.0,UAS (DR. SALVADOR ALLENDE),40.73930158730159,58.606106
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,33.4,UAS (DR. SALVADOR ALLENDE),57.82134153439153,55.042744
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,29.2,UAS (DR. SALVADOR ALLENDE),57.82134153439153,55.042744
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2008,42.833333333333336,UAS (DR. SALVADOR ALLENDE),57.82134153439153,55.042744
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2009,76.5,UAS (DR. SALVADOR ALLENDE),57.82134153439153,55.042744
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2010,77.4,UAS (DR. SALVADOR ALLENDE),57.82134153439153,55.042744
