clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida,clave,nombre,corto,ultimo_digito,periodo,anio_ingreso,periodo_act,anio_ingreso_periodo,promedio,promedio_pred
4434,4,1,127,ALCANFORES,25018.0,Navolato,2053.0,,1,127,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2010,88.5,75.87361
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2005,65.16666666666667,61.89551
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2006,62.0,60.51248
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2008,58.0,51.358273
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2009,85.6,62.92203
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2010,80.4,63.74182
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2006,46.8,56.781494
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2007,45.6,48.95042
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2009,68.83333333333333,53.64009
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2010,58.57142857142857,57.13559
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2007,0.0,49.09195
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2009,77.0,71.81941
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2010,77.5,74.56071
4443,4,1,142,,25002.0,Angostura,2053.0,,1,142,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2005,71.66666666666667,63.014465
4443,4,1,142,,25002.0,Angostura,2053.0,,1,142,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2006,47.8,61.88098
4443,4,1,142,,25002.0,Angostura,2053.0,,1,142,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2007,51.166666666666664,52.07717
4443,4,1,142,,25002.0,Angostura,2053.0,,1,142,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2008,44.0,52.726753
4443,4,1,142,,25002.0,Angostura,2053.0,,1,142,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2006,63.0,58.45107
4443,4,1,142,,25002.0,Angostura,2053.0,,1,142,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2007,63.8,50.61999
4443,4,1,142,,25002.0,Angostura,2053.0,,1,142,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2008,74.25,49.55764
4443,4,1,142,,25002.0,Angostura,2053.0,,1,142,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2009,14.166666666666666,53.606342
4443,4,1,142,,25002.0,Angostura,2053.0,,1,142,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2010,17.5,55.747494
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1,234,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2005,55.333333333333336,65.91136
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1,234,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2006,45.0,65.22243
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1,234,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2009,82.0,66.61857
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1,234,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2010,58.75,70.007645
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1,234,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2006,60.8,61.918793
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1,234,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2007,65.16666666666667,54.087715
