clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida
8409,4,1,0,Obrera,25006.0,Culiacan,2073.0,,1
8494,4,1,0,Nayarit,25018.0,Navolato,2073.0,,1
8518,4,1,112,Juarez,25015.0,Guamuchil,2081.0,,1
8519,4,1,112,San Luis Ii,25006.0,Culiacan,2081.0,,1
9206,4,1,26,Canaco,25006.0,Culiacan,2083.0,,1
9208,4,1,107,FRACC.,25006.0,Culiacan,2083.0,,1
9210,4,1,112,Cuauhtemoc,25015.0,Guamuchil,2083.0,,1
9213,4,1,107,FRACC.,25006.0,Culiacan,2083.0,,1
9214,4,1,142,LEOPOLDO,25002.0,Angostura,2083.0,,1
9215,4,1,73,SALVADOR,25006.0,Culiacan,2083.0,,1
9218,4,1,24,21 DE MARZO,25006.0,Culiacan,2083.0,,1
9219,4,1,112,CONOCIDA,25002.0,Angostura,2083.0,,1
9220,4,1,42,Centro,25009.0,Escuinapa,2083.0,,1
9221,4,1,112,Olas,25011.0,Guasave,2083.0,,1
9222,4,1,154,Morelos,25006.0,Culiacan,2083.0,,1
9224,4,1,97,Centro,25006.0,Culiacan,2083.0,,1
9225,4,1,143,CONOCIDA,25002.0,Angostura,2083.0,,1
9227,4,1,20,,25013.0,Mocorito,2083.0,,1
9229,4,1,71,Olas,25006.0,Culiacan,2083.0,,1
9234,4,1,153,Infonavit Jobori,25006.0,Culiacan,2083.0,,1
9235,4,1,112,EJIDAL,25011.0,Guasave,2083.0,,1
9237,4,1,153,Universidad 94,25006.0,Culiacan,2083.0,,1
9238,4,1,153,FRACC.,25006.0,Culiacan,2083.0,,1
9239,4,1,26,San Francisco,25006.0,Culiacan,2083.0,,1
9242,4,1,107,BALCONES DE NUEVO CULIACAN,25006.0,Culiacan,2083.0,,1
9244,4,1,26,BUENOS AIRES,25006.0,Culiacan,2083.0,,1
9245,4,1,24,San Miguel,25006.0,Culiacan,2083.0,,1
9248,4,1,121,FRACC.,25006.0,Culiacan,2083.0,,1
9249,4,2,129,Popular,25006.0,Culiacan,2083.0,,1
9250,4,1,10,CONOCIDA,25011.0,Guasave,2083.0,,1
9251,4,1,145,El Tecomate,25011.0,Guasave,2083.0,,1
9253,4,1,107,FRACC.,25006.0,Culiacan,2083.0,,1
9254,4,1,71,Pemex,25006.0,Culiacan,2083.0,,1
9255,4,1,31,COL. MARIANO ESCOBEDO,25006.0,Culiacan,2083.0,,1
9256,4,1,112,Magisterio,25015.0,Guamuchil,2083.0,,1
9259,4,1,107,Loma Linda,25006.0,Culiacan,2083.0,,1
9260,4,1,42,Centro,25009.0,Escuinapa,2083.0,,1
9261,4,1,127,Azucarera,25018.0,Navolato,2083.0,,1
9262,4,1,24,Guadalupe,25006.0,Culiacan,2083.0,,1
9264,4,1,25,VILLA,25006.0,Culiacan,2083.0,,1
9268,4,1,15,SN.FELIPE,25017.0,Sinaloa de Leyva,2083.0,,1
9270,4,1,131,Miramar,25008.0,La Cruz,2083.0,,1
9273,4,1,65,Infonavit Jobori,25006.0,Culiacan,2083.0,,1
9274,4,1,79,FRACC.,25006.0,Culiacan,2083.0,,1
9275,4,1,107,servidor,25006.0,Culiacan,2083.0,,1
9276,4,1,20,,25013.0,Mocorito,2083.0,,1
9282,4,1,71,La Sirena,25006.0,Culiacan,2083.0,,1
9285,4,1,36,San Rafael,25006.0,Culiacan,2083.0,,1
9287,4,1,107,Conchas,25006.0,Culiacan,2083.0,,1
9290,4,1,29,COFRADIA,25018.0,Navolato,2083.0,,1
9291,4,1,107,CONOCIDA,25018.0,Navolato,2083.0,,1
9465,4,1,0,Morelos,25006.0,Culiacan,2083.0,,1
9489,4,1,26,Montserrat,25006.0,Culiacan,2083.0,,1
9492,4,1,153,Ejidal,25006.0,Culiacan,2083.0,,1
9508,4,1,70,IND.,25006.0,Culiacan,2083.0,,1
9510,4,1,0,Heraclio Bernal,25006.0,Culiacan,2083.0,,1
10062,4,1,107,Rincon de Las Plazas,25006.0,Culiacan,2093.0,,1
10109,4,1,29,Nayarit,25018.0,Navolato,2093.0,,1
10110,4,1,26,Revolucion,25006.0,Culiacan,2093.0,,1
10111,4,1,118,INF.,25006.0,Culiacan,2093.0,,1
10112,4,1,107,San Luis Ii,25006.0,Culiacan,2093.0,,1
10113,4,1,124,BARRANCOS,25006.0,Culiacan,2093.0,,1
10114,4,1,62,Stanza Solare,25006.0,Culiacan,2093.0,,1
10115,4,1,112,Insurgentes,25015.0,Guamuchil,2093.0,,1
10117,4,1,107,COUNTRY,25006.0,Culiacan,2093.0,,1
10118,4,1,60,El Toro,25006.0,Culiacan,2093.0,,1
10119,4,2,153,Infonavit Jobori,25006.0,Culiacan,2093.0,,1
10120,4,1,26,VILLA,25006.0,Culiacan,2093.0,,1
10121,4,1,129,Centro,25006.0,Culiacan,2093.0,,1
10122,4,1,107,Los Angeles,25006.0,Culiacan,2093.0,,1
10123,4,1,107,San Rafael,25006.0,Culiacan,2093.0,,1
10124,4,1,79,NAKAYAMA,25006.0,Culiacan,2093.0,,1
10125,4,1,34,FOV.,25006.0,Culiacan,2093.0,,1
10126,4,1,117,Infonavit Jobori,25006.0,Culiacan,2093.0,,1
10127,4,1,28,,25018.0,Navolato,2093.0,,1
10128,4,1,107,Los Angeles,25006.0,Culiacan,2093.0,,1
10129,4,1,61,LINDA,25018.0,Navolato,2093.0,,1
10130,4,1,112,Campestre,25006.0,Culiacan,2093.0,,1
10131,4,1,117,Plaza,25006.0,Culiacan,2093.0,,1
10132,4,1,107,PLUTARCO,25006.0,Culiacan,2093.0,,1
10133,4,1,120,AMP.,25006.0,Culiacan,2093.0,,1
10137,4,1,117,TOLEDO,25006.0,Culiacan,2093.0,,1
10139,4,1,107,Libertad,25006.0,Culiacan,2093.0,,1
10141,4,1,536,VILLAS,25006.0,Culiacan,2093.0,,1
10142,4,1,153,CHULAVISTA,25006.0,Culiacan,2093.0,,1
10144,4,1,112,RES.,25015.0,Guamuchil,2093.0,,1
10145,4,1,18,Centro,25003.0,Badiraguato,2093.0,,1
10146,4,1,118,Villa del Real,25006.0,Culiacan,2093.0,,1
10147,4,1,156,cofradia,25018.0,Navolato,2093.0,,1
10148,4,1,112,Militar,25015.0,Guamuchil,2093.0,,1
10149,4,1,107,Bugambilias,25006.0,Culiacan,2093.0,,1
10150,4,1,130,Centro,25005.0,Cosala,2093.0,,1
10151,4,1,117,Margaritas,25006.0,Culiacan,2093.0,,1
10152,4,1,516,Morelos,25006.0,Culiacan,2093.0,,1
10154,4,1,117,San Francisco,25006.0,Culiacan,2093.0,,1
10155,4,1,117,PRIV.,25006.0,Culiacan,2093.0,,1
10156,4,1,26,Nuevo,25006.0,Culiacan,2093.0,,1
10158,4,1,112,Campestre,25006.0,Culiacan,2093.0,,1
10159,4,1,29,San Rafael,25018.0,Navolato,2093.0,,1
10160,4,2,95,Montserrat,25006.0,Culiacan,2093.0,,1
10162,4,1,127,Villa del Real,25018.0,Navolato,2093.0,,1
10164,4,1,107,Jardin,25006.0,Culiacan,2093.0,,1
10165,4,1,107,Santa Natalia,25018.0,Navolato,2093.0,,1
10167,4,1,70,Los Angeles,25006.0,Culiacan,2093.0,,1
10168,4,1,116,Canarias,25006.0,Culiacan,2093.0,,1
10170,4,1,79,Infonavit Jobori,25006.0,Culiacan,2093.0,,1
10172,4,1,131,Miramar,25008.0,La Cruz,2093.0,,1
10173,4,2,535,Villa del Real,25006.0,Culiacan,2093.0,,1
10175,4,1,62,Libertad,25006.0,Culiacan,2093.0,,1
10176,4,1,118,AMP.,25006.0,Culiacan,2093.0,,1
10177,4,2,127,INF.,25018.0,Navolato,2093.0,,1
10179,4,1,163,FRACC.,25006.0,Culiacan,2093.0,,1
10180,4,1,107,Stanza Solare,25006.0,Culiacan,2093.0,,1
10181,4,1,61,,25018.0,Navolato,2093.0,,1
10281,4,1,153,INF.,25006.0,Culiacan,2093.0,,1
10452,4,1,0,Industrial Bravo,25006.0,Culiacan,2093.0,,1
10754,4,1,0,nose,25006.0,Culiacan,2101.0,,1
11063,4,1,28,Adolfo Lopez Mateos,25006.0,Culiacan,2103.0,,1
11089,4,1,117,Infonavit Jobori,25006.0,Culiacan,2103.0,,1
11321,4,1,107,Guadalupe,25006.0,Culiacan,2103.0,,1
11322,4,1,27,Cuauhtemoc,25006.0,Culiacan,2103.0,,1
11323,4,1,27,San Ignacio,25006.0,Culiacan,2103.0,,1
11324,4,1,25,Las Mañanitas,25006.0,Culiacan,2103.0,,1
11325,4,1,107,Nuevo,25006.0,Culiacan,2103.0,,1
11326,4,1,55,Valle Dorado,25011.0,Guasave,2103.0,,1
11327,4,1,117,Pemex,25006.0,Culiacan,2103.0,,1
11328,4,1,129,Juan de Dios Batiz,25006.0,Culiacan,2103.0,,1
11330,4,1,61,FIDEL GUTIERREZ,25018.0,Navolato,2103.0,,1
11333,4,1,107,Stanza Solare,25006.0,Culiacan,2103.0,,1
11334,4,1,118,Huizaches,25006.0,Culiacan,2103.0,,1
11335,4,1,153,FRACC.,25006.0,Culiacan,2103.0,,1
11337,4,1,153,INF.,25006.0,Culiacan,2103.0,,1
11338,4,1,117,Plaza,25006.0,Culiacan,2103.0,,1
11339,4,1,219,Infonavit Jobori,25006.0,Culiacan,2103.0,,1
11340,4,1,65,Independencia,25006.0,Culiacan,2103.0,,1
11341,4,1,107,Villa Union,25006.0,Culiacan,2103.0,,1
11342,4,1,107,BARRANCOS,25006.0,Culiacan,2103.0,,1
11343,4,1,131,Miramar,25008.0,La Cruz,2103.0,,1
11344,4,1,117,FRACC.,25006.0,Culiacan,2103.0,,1
11345,4,1,169,San Francisco,25006.0,Culiacan,2103.0,,1
11346,4,1,70,Capistrano Ii,25006.0,Culiacan,2103.0,,1
11347,4,1,163,La Constancia,25006.0,Culiacan,2103.0,,1
11348,4,1,117,REPUBLICA,25006.0,Culiacan,2103.0,,1
11349,4,1,26,Libertad,25006.0,Culiacan,2103.0,,1
11350,4,1,71,Nuevo Horizonte,25006.0,Culiacan,2103.0,,1
11351,4,1,127,Ejidal,25018.0,Navolato,2103.0,,1
11352,4,1,629,FRACC.,25006.0,Culiacan,2103.0,,1
11353,4,1,123,Adolfo Lopez Mateos,25006.0,Culiacan,2103.0,,1
11355,4,1,333,FRAC.los,25006.0,Culiacan,2103.0,,1
11357,4,1,107,Buenos Aires,25006.0,Culiacan,2103.0,,1
11359,4,1,127,BARICUETO,25018.0,Navolato,2103.0,,1
11360,4,1,98,FRACC.,25006.0,Culiacan,2103.0,,1
11363,4,1,153,FRACC.,25006.0,Culiacan,2103.0,,1
11364,4,1,121,El Walamo,25006.0,Culiacan,2103.0,,1
11365,4,1,22,Fovissste Playa Azul,25006.0,Culiacan,2103.0,,1
11366,4,1,153,FRACC.,25006.0,Culiacan,2103.0,,1
11367,4,1,531,El Toro,25006.0,Culiacan,2103.0,,1
11369,4,1,65,Infonavit Jobori,25006.0,Culiacan,2103.0,,1
11370,4,1,443,Olas,25006.0,Culiacan,2103.0,,1
11372,4,1,107,Francisco Alarcon,25006.0,Culiacan,2103.0,,1
11375,4,1,613,VILLAFONTANA,25006.0,Culiacan,2103.0,,1
11376,4,1,118,Infonavit Jobori,25006.0,Culiacan,2103.0,,1
11378,4,1,68,,25002.0,Angostura,2103.0,,1
11379,4,1,153,San Miguel,25006.0,Culiacan,2103.0,,1
11380,4,1,118,INF.,25006.0,Culiacan,2103.0,,1
11381,4,1,107,Stanza Solare,25006.0,Culiacan,2103.0,,1
11382,4,1,107,Stanza Solare,25006.0,Culiacan,2103.0,,1
11383,4,1,107,Guadalupe,25006.0,Culiacan,2103.0,,1
11384,4,1,89,El Walamo,25006.0,Culiacan,2103.0,,1
11385,4,1,123,Chula Vista,25006.0,Culiacan,2103.0,,1
11386,4,1,117,San Francisco,25006.0,Culiacan,2103.0,,1
11387,4,1,153,Universidad 94,25006.0,Culiacan,2103.0,,1
11388,4,1,117,Morelos,25006.0,Culiacan,2103.0,,1
11389,4,1,27,Los Angeles,25006.0,Culiacan,2103.0,,1
11391,4,1,127,Alcanfores,25018.0,Navolato,2103.0,,1
11393,4,1,107,Nuevo,25006.0,Culiacan,2103.0,,1
11394,4,1,26,SALVADOR,25006.0,Culiacan,2103.0,,1
11395,4,1,205,EL ZOPILOTE,25011.0,Guasave,2103.0,,1
3002,0,1,107,INF.,25006.0,Culiacan,2043.0,,1
3047,0,1,107,IND.,25006.0,Culiacan,2043.0,,1
3526,0,1,17,Los Angeles,25006.0,Culiacan,2051.0,,1
3534,0,1,29,Alfonso G Calderon,25018.0,Navolato,2051.0,,1
3545,0,1,112,Insurgentes,25015.0,Guamuchil,2051.0,,1
3559,0,1,71,Las Granjas,25006.0,Culiacan,2051.0,,1
3575,0,1,95,Guadalupe,25006.0,Culiacan,2051.0,,1
3601,0,1,107,Santa Natalia,25006.0,Culiacan,2051.0,,1
3851,0,1,37,Morelos,25006.0,Culiacan,2051.0,,1
3942,0,1,153,Santa Natalia,25006.0,Culiacan,2053.0,,1
3944,0,1,63,LOPEZ,25018.0,Navolato,2053.0,,1
3946,0,2,107,Los Angeles,25006.0,Culiacan,2053.0,,1
3978,0,1,127,COFRADIA,25018.0,Navolato,2053.0,,1
3988,0,1,78,Guadalupe,25006.0,Culiacan,2053.0,,1
4020,0,2,107,Villa del Real,25006.0,Culiacan,2053.0,,1
4031,0,1,107,El Walamo,25006.0,Culiacan,2053.0,,1
4066,0,1,107,RUBEN,25006.0,Culiacan,2053.0,,1
4116,0,1,32,Villa de Guadalupe,25006.0,Culiacan,2053.0,,1
4192,0,1,26,Mazatlan Iii,25006.0,Culiacan,2053.0,,1
4245,0,1,107,Guadalupe,25006.0,Culiacan,2053.0,,1
6181,0,1,150,ZARAGOZA,25014.0,Rosario,2053.0,,1
6199,0,1,0,COL. MARIANO ESCOBEDO,25006.0,Culiacan,2061.0,,1
6216,0,1,0,Campestre,25006.0,Culiacan,2061.0,,1
6254,0,1,71,VILLA,25006.0,Culiacan,2061.0,,1
6266,0,1,71,Nuevo,25006.0,Culiacan,2061.0,,1
6274,0,1,121,Fovissste Playa Azul,25006.0,Culiacan,2061.0,,1
6284,0,1,26,Plaza,25006.0,Culiacan,2061.0,,1
6287,0,1,26,VILLAS,25006.0,Culiacan,2061.0,,1
6290,0,2,71,Aguajito,25006.0,Culiacan,2061.0,,1
6294,0,1,22,Fovissste Playa Azul,25006.0,Culiacan,2061.0,,1
6302,0,2,0,Stase,25006.0,Culiacan,2061.0,,1
6315,0,1,118,RECURSOS,25006.0,Culiacan,2061.0,,1
6316,0,2,82,Gabriel Leyva Velazquez,25006.0,Culiacan,2061.0,,1
6317,0,1,107,Villa Union,25006.0,Culiacan,2061.0,,1
6402,0,2,107,Plaza,25006.0,Culiacan,2063.0,,1
6405,0,1,26,DIAZ,25006.0,Culiacan,2063.0,,1
6406,0,2,107,Montserrat,25006.0,Culiacan,2063.0,,1
6407,0,1,162,AMPL.,25012.0,Mazatlan,2063.0,,1
6409,0,1,65,San Francisco,25006.0,Culiacan,2063.0,,1
6413,0,2,153,Morelos,25006.0,Culiacan,2063.0,,1
6414,0,2,107,San Miguel,25006.0,Culiacan,2063.0,,1
6415,0,2,26,Centro,25006.0,Culiacan,2063.0,,1
6422,0,2,31,COL. MARIANO ESCOBEDO,25006.0,Culiacan,2063.0,,1
6425,0,1,117,ROSALES,25006.0,Culiacan,2063.0,,1
6426,0,2,94,San Rafael,25006.0,Culiacan,2063.0,,1
6429,0,1,149,AMPL.,25012.0,Mazatlan,2063.0,,1
6432,0,1,27,AQUILES SERDAN,25006.0,Culiacan,2063.0,,1
6448,0,1,27,INF.,25006.0,Culiacan,2063.0,,1
6463,0,1,118,Ejidal,25006.0,Culiacan,2063.0,,1
6464,0,1,153,FRACC.,25006.0,Culiacan,2063.0,,1
6475,0,2,112,Magisterio,25015.0,Guamuchil,2063.0,,1
6477,0,1,98,RES.,25006.0,Culiacan,2063.0,,1
6478,0,1,25,Fovissste Playa Azul,25006.0,Culiacan,2063.0,,1
6482,0,1,97,Olas,25006.0,Culiacan,2063.0,,1
6496,0,1,107,Centro,25006.0,Culiacan,2063.0,,1
6498,0,2,98,INF.,25006.0,Culiacan,2063.0,,1
6499,0,1,107,Olas,25006.0,Culiacan,2063.0,,1
6501,0,1,98,FRACC.,25006.0,Culiacan,2063.0,,1
6502,0,1,107,Guadalupe,25006.0,Culiacan,2063.0,,1
6512,0,2,70,San Ignacio,25006.0,Culiacan,2063.0,,1
6519,0,1,20,Centro,25013.0,Mocorito,2063.0,,1
6521,0,1,23,VILLA,25006.0,Culiacan,2063.0,,1
6523,0,2,153,INF.,25006.0,Culiacan,2063.0,,1
6527,0,1,107,Libertad,25006.0,Culiacan,2063.0,,1
6529,0,1,107,Olas,25006.0,Culiacan,2063.0,,1
6538,0,1,41,Presidentes,25014.0,Rosario,2063.0,,1
6547,0,1,112,Rotarismo,25006.0,Culiacan,2063.0,,1
6548,0,1,14,,25011.0,Guasave,2063.0,,1
6553,0,2,153,Olas,25006.0,Culiacan,2063.0,,1
6555,0,1,112,Magisterio,25015.0,Guamuchil,2063.0,,1
6561,0,1,112,El Walamo,25015.0,Guamuchil,2063.0,,1
6566,0,1,97,VILLA,25006.0,Culiacan,2063.0,,1
6569,0,1,26,Centro,25006.0,Culiacan,2063.0,,1
6574,0,1,112,El Walamo,25015.0,Guamuchil,2063.0,,1
6576,0,1,153,,25006.0,Culiacan,2063.0,,1
6580,0,1,121,San Ignacio,25006.0,Culiacan,2063.0,,1
6584,0,1,26,VILLAS,25006.0,Culiacan,2063.0,,1
6594,0,1,333,niebla,25014.0,Rosario,2063.0,,1
6595,0,1,121,Chapultepec,25006.0,Culiacan,2063.0,,1
6596,0,1,33,PLUTARCO,25006.0,Culiacan,2063.0,,1
6597,0,1,112,Morelos,25006.0,Culiacan,2063.0,,1
6598,0,1,107,FRACC.,25006.0,Culiacan,2063.0,,1
6613,0,1,144,VILLA,25006.0,Culiacan,2063.0,,1
6617,0,2,83,LOMBARDO,25006.0,Culiacan,2063.0,,1
6620,0,1,65,FELIPE,25006.0,Culiacan,2063.0,,1
6621,0,1,27,Libertad,25006.0,Culiacan,2063.0,,1
6623,0,1,112,Niños Heroes,25015.0,Guamuchil,2063.0,,1
6625,0,1,112,Magisterio,25006.0,Culiacan,2063.0,,1
6627,0,1,85,FRACC.,25006.0,Culiacan,2063.0,,1
6628,0,1,146,Centro,25009.0,Escuinapa,2063.0,,1
6630,0,2,26,21 DE MARZO,25006.0,Culiacan,2063.0,,1
6635,0,1,112,Guadalupe,25006.0,Culiacan,2063.0,,1
6637,0,1,333,,25006.0,Culiacan,2063.0,,1
6638,0,1,333,FRACC.,25006.0,Culiacan,2063.0,,1
6639,0,1,128,Ejidal,25006.0,Culiacan,2063.0,,1
6640,0,1,107,Acueducto,25006.0,Culiacan,2063.0,,1
6641,0,1,107,FRACC.,25006.0,Culiacan,2063.0,,1
6649,0,1,14,Bamoa,25011.0,Guasave,2063.0,,1
6650,0,1,14,Centro,25011.0,Guasave,2063.0,,1
6651,0,1,27,Acueducto,25006.0,Culiacan,2063.0,,1
6655,0,1,26,Los Angeles,25006.0,Culiacan,2063.0,,1
6656,0,1,189,Burocrata,25006.0,Culiacan,2063.0,,1
6657,0,1,183,VENUSTIANO,25012.0,Mazatlan,2063.0,,1
6659,0,1,73,VILLA,25006.0,Culiacan,2063.0,,1
