clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,clave,nombre,corto,periodo_act,anio_ingreso_periodo,promedio,promedio_pred,promedioxperiodo,alumnoEnRiesgoBajoRendimiento
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,76.5,67.18086,60.28880555555553,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ene-jun,2009,29.2,58.43189,50.902088095238085,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,verano,2009,90.0,80.36038,83.59666666666664,Sin riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2004,46.42857142857143,54.571064,56.828211877276175,En riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2005,72.5,59.487797,56.828211877276175,En riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,verano,2005,80.0,67.827194,70.52666666666666,Sin riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2006,60.0,60.255726,56.828211877276175,En riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ene-jun,2006,47.4,53.894043,54.595506349206346,En riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2007,48.0,57.36608,56.828211877276175,En riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ene-jun,2007,64.66666666666667,52.622597,54.595506349206346,En riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2008,53.4,57.78835,56.828211877276175,En riesgo
