clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida,nombre,corto,ultimo_digito,periodo,anio_ingreso,riesgo_bajo_rendimiento,riesgo_predicho
7258,4,1,112,CUAUHTEMOC,25015.0,Guamuchil,2063.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2006,0,0
7269,4,1,46,EJIDO BATALLON,25018.0,Navolato,2063.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2006,0,0
7286,4,1,29,CALDERON,25018.0,Navolato,2063.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2006,0,0
7513,4,1,0,AVIACION,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7518,4,1,333,PANTEON,25014.0,Rosario,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7523,4,1,117,21 DE MARZO,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7524,4,1,55,EJIDAL,25011.0,Guasave,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7526,4,1,121,OBRERA,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7527,4,1,107,AQUILES SERDAN,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7528,4,1,153,MARGARITAS,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7531,4,1,62,ESTADIO,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7532,4,1,14,ESTADIO,25011.0,Guasave,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7536,4,1,122,BACHIGUALATO,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7537,4,1,156,,25018.0,Navolato,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7539,4,1,23,PLUTARCO ELIAS CALLES,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7540,4,1,117,EL WALAMO,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7541,4,1,112,MILITAR,25015.0,Guamuchil,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7543,4,1,127,CANACO,25018.0,Navolato,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7544,4,1,127,POPULAR,25018.0,Navolato,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7546,4,1,153,FOVISSSTE PLAYA AZUL,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7547,4,1,127,LOS ANGELES,25018.0,Navolato,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7550,4,1,156,LA SIRENA,25018.0,Navolato,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7551,4,1,27,EMILIANO ZAPATA,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7552,4,1,25,SAN MIGUEL,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7553,4,1,45,CENTRO,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7554,4,1,14,MORELOS,25011.0,Guasave,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7555,4,1,10,REPUBLICA MEXICANA,25011.0,Guasave,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7556,4,2,111,CASCADAS,25012.0,Mazatlan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7557,4,1,145,LA CRUZ,25011.0,Guasave,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7558,4,1,112,MILITAR,25015.0,Guamuchil,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7560,4,1,127,YAMAGUCHI,25018.0,Navolato,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7562,4,1,30,STANZA SOLARE,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7563,4,1,141,CENTRO,25013.0,Mocorito,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7564,4,1,153,MARGARITAS,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7566,4,1,118,CANACO,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7567,4,1,144,MAGISTERIO,25015.0,Guamuchil,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7568,4,1,128,SAN LUIS II,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7569,4,1,112,CUAUHTEMOC,25015.0,Guamuchil,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7570,4,1,121,UNIVERSIDAD 94,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7573,4,2,154,STANZA SOLARE,25011.0,Guasave,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7575,4,2,107,HUMAYA,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7576,4,1,160,CENTRO,25013.0,Mocorito,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7577,4,1,107,LA HIGUERAS,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7580,4,1,20,AVIACION,25013.0,Mocorito,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7581,4,1,71,VILLA DEL REAL,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7584,4,1,63,MONTSERRAT,25018.0,Navolato,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7586,4,1,0,GUADALUPE,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7587,4,2,107,UNIVERSIDAD 94,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7589,4,1,333,COL. GENARO ESTRADA,25014.0,Rosario,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7590,4,1,27,PRIMAVERA,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7596,4,1,107,CANACO,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7597,4,1,112,LOS ANGELES,25013.0,Mocorito,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7599,4,1,128,BUENOS AIRES,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7601,4,1,112,VILLA DEL REAL,25015.0,Guamuchil,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7602,4,1,153,SOLIDARIDAD,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7603,4,1,333,ALFONSO,25014.0,Rosario,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7604,4,1,153,EL WALAMO,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7605,4,1,0,AZUCARERA,25016.0,San Ignacio,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7606,4,1,32,VILLA DEL REAL,25005.0,Cosala,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7608,4,1,26,GUADALUPE,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7613,4,1,112,CUAUHTEMOC,25015.0,Guamuchil,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7615,4,1,125,EMILIANO ZAPATA,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
7619,4,1,112,MILITAR,25015.0,Guamuchil,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
8409,4,1,0,OBRERA,25006.0,Culiacan,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
8494,4,1,0,NAYARIT,25018.0,Navolato,2073.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2007,0,0
